question_id,question,answer_a,answer_b
1,Tên người nộp thuế và mã số thuế trong tờ khai thuế GTGT Mẫu số 01/GTGT là gì?,# BCTC.pdf ## Trang 1,"Tên người nộp thuế là: CÔNG TY CỔ PHẦN DHA SURFACES.  
Mã số thuế là: 0106769437."
2,Thuế giá trị gia tăng phải nộp của hoạt động sản xuất kinh doanh trong kỳ 4 năm 2024 là bao nhiêu?,# BCTC.pdf ## Trang 1,Thuế giá trị gia tăng phải nộp của hoạt động sản xuất kinh doanh trong kỳ 4 năm 2024 là 52.133.830 đồng.
3,Nghị định 13/2023/NĐ-CP áp dụng đối với những đối tượng nào?,# Nghi_dinh_so_13-2023_ve_bao_ve_du_lieu_ca_nhan_508ee.pdf ## Trang 1,"Nghị định 13/2023/NĐ-CP áp dụng đối với các đối tượng sau:

1. Cơ quan, tổ chức, cá nhân Việt Nam.
2. Cơ quan, tổ chức, cá nhân nước ngoài tại Việt Nam.
3. Cơ quan, tổ chức, cá nhân Việt Nam hoạt động tại nước ngoài.
4. Cơ quan, tổ chức, cá nhân nước ngoài trực tiếp tham gia hoặc có liên quan đến hoạt động xử lý dữ liệu cá nhân tại Việt Nam."
4,"Theo Nghị định bảo vệ dữ liệu cá nhân, dữ liệu cá nhân cơ bản bao gồm những gì liên quan đến giấy tờ tùy thân?","3. Dữ liệu cá nhân cơ bản bao gồm: a) Họ, chữ đệm và tên khai sinh, tên gọi khác (nếu có); b) Ngày, tháng, năm sinh; ngày, tháng, năm chết hoặc mất tích; c) Giới tính; d) Nơi sinh, nơi đăng ký khai sinh, nơi thường trú, nơi tạm trú, nơi ở hiện tại, quê quán, địa chỉ liên hệ; d) Quốc tịch; e) Hình ảnh của cá nhân; g) Số điện thoại, số chứng minh nhân dân, số định danh cá nhân, số hộ chiếu, số giấy phép lái xe, số biển số xe, số mã số thuế cá nhân, số bảo hiểm xã hội, số thẻ bảo hiểm y tế; h) Tình trạng hôn nhân; i) Thông tin về mối quan hệ gia đình (cha mẹ, con cái); k) Thông tin về tài khoản số của cá nhân; dữ liệu cá nhân phản ánh hoạt động, lịch sử hoạt động trên không gian mạng; l) Các thông tin khác gắn liên với một con người cụ thể hoặc giúp xác định một con người cụ thể không thuộc quy định tại khoản 4 Điều này.","Dữ liệu cá nhân cơ bản liên quan đến giấy tờ tùy thân bao gồm:

- Số chứng minh nhân dân
- Số định danh cá nhân
- Số hộ chiếu
- Số giấy phép lái xe
- Số biển số xe
- Số mã số thuế cá nhân
- Số bảo hiểm xã hội
- Số thẻ bảo hiểm y tế."
5,Kỳ tính thuế của Tờ khai thuế giá trị gia tăng Mẫu số 01/GTGT của công ty DHA Surfaces là khi nào?,# BCTC.pdf ## Trang 1,Kỳ tính thuế của Tờ khai thuế giá trị gia tăng Mẫu số 01/GTGT của công ty DHA Surfaces là Quý 4 năm 2024.
6,"Hàng hóa, dịch vụ mua vào chịu thuế suất 10% có giá trị chưa thuế là bao nhiêu?","| STT | Chỉ tiêu | Giá trị hàng hóa, dịch vụ (chưa có thuế giá trị gia tăng) | Thuế giá trị gia tăng | |-----|----------|----------------------------------------------------------|-----------------------| | A | Không phát sinh hoạt động mua, bán trong kỳ (đánh dấu ""X"") | [21] | [22] | | B | Thuế giá trị gia tăng còn được khấu trừ kỳ trước chuyển sang | | 77.377.803 | | C | Kê khai thuế giá trị gia tăng phải nộp ngân sách nhà nước | | | | I | Hàng hóa, dịch vụ mua vào trong kỳ | | | | 1 | Hàng hóa, dịch vụ mua vào chịu thuế giá trị gia tăng | | | | | a | Hàng hóa, dịch vụ mua vào chịu thuế suất 10% | 2.405.743.241 | 245.163.767 | | | b | Hàng hóa, dịch vụ mua vào chịu thuế suất 8% | | | | | c | Hàng hóa, dịch vụ mua vào chịu thuế suất 5% | | | | | d | Hàng hóa, dịch vụ mua vào không chịu thuế | | | | II | Hàng hóa, dịch vụ bán ra trong kỳ | | | | 1 | Hàng hóa, dịch vụ bán ra không chịu th","Hàng hóa, dịch vụ mua vào chịu thuế suất 10% có giá trị chưa thuế là 2.405.743.241 đồng."
7,"Tổng doanh thu và thuế giá trị gia tăng của hàng hóa, dịch vụ bán ra trong kỳ tính thuế là bao nhiêu?","| STT | Chỉ tiêu | Giá trị hàng hóa, dịch vụ (chưa có thuế giá trị gia tăng) | Thuế giá trị gia tăng | |-----|----------|----------------------------------------------------------|-----------------------| | A | Không phát sinh hoạt động mua, bán trong kỳ (đánh dấu ""X"") | [21] | [22] | | B | Thuế giá trị gia tăng còn được khấu trừ kỳ trước chuyển sang | | 77.377.803 | | C | Kê khai thuế giá trị gia tăng phải nộp ngân sách nhà nước | | | | I | Hàng hóa, dịch vụ mua vào trong kỳ | | | | 1 | Hàng hóa, dịch vụ mua vào chịu thuế giá trị gia tăng | | | | | a | Hàng hóa, dịch vụ mua vào chịu thuế suất 10% | 2.405.743.241 | 245.163.767 | | | b | Hàng hóa, dịch vụ mua vào chịu thuế suất 8% | | | | | c | Hàng hóa, dịch vụ mua vào chịu thuế suất 5% | | | | | d | Hàng hóa, dịch vụ mua vào không chịu thuế | | | | II | Hàng hóa, dịch vụ bán ra trong kỳ | | | | 1 | Hàng hóa, dịch vụ bán ra không chịu th","Tổng doanh thu và thuế giá trị gia tăng của hàng hóa, dịch vụ bán ra trong kỳ tính thuế là 3.703.688.610 đồng và 345.675.440 đồng."
8,Số tiền Thuế giá trị gia tăng còn được khấu trừ kỳ trước chuyển sang là bao nhiêu?,"| STT | Chỉ tiêu | Giá trị hàng hóa, dịch vụ (chưa có thuế giá trị gia tăng) | Thuế giá trị gia tăng | |-----|----------|----------------------------------------------------------|-----------------------| | A | Không phát sinh hoạt động mua, bán trong kỳ (đánh dấu ""X"") | [21] | [22] | | B | Thuế giá trị gia tăng còn được khấu trừ kỳ trước chuyển sang | | 77.377.803 | | C | Kê khai thuế giá trị gia tăng phải nộp ngân sách nhà nước | | | | I | Hàng hóa, dịch vụ mua vào trong kỳ | | | | 1 | Hàng hóa, dịch vụ mua vào chịu thuế giá trị gia tăng | | | | | a | Hàng hóa, dịch vụ mua vào chịu thuế suất 10% | 2.405.743.241 | 245.163.767 | | | b | Hàng hóa, dịch vụ mua vào chịu thuế suất 8% | | | | | c | Hàng hóa, dịch vụ mua vào chịu thuế suất 5% | | | | | d | Hàng hóa, dịch vụ mua vào không chịu thuế | | | | II | Hàng hóa, dịch vụ bán ra trong kỳ | | | | 1 | Hàng hóa, dịch vụ bán ra không chịu th",Số tiền Thuế giá trị gia tăng còn được khấu trừ kỳ trước chuyển sang là 77.377.803 đồng.
9,Thuế giá trị gia tăng phát sinh trong kỳ của công ty DHA Surfaces được tính ra bao nhiêu và dựa trên công thức nào?,"| STT | Chỉ tiêu | Giá trị hàng hóa, dịch vụ (chưa có thuế giá trị gia tăng) | Thuế giá trị gia tăng | |-----|----------|----------------------------------------------------------|-----------------------| | A | Không phát sinh hoạt động mua, bán trong kỳ (đánh dấu ""X"") | [21] | [22] | | B | Thuế giá trị gia tăng còn được khấu trừ kỳ trước chuyển sang | | 77.377.803 | | C | Kê khai thuế giá trị gia tăng phải nộp ngân sách nhà nước | | | | I | Hàng hóa, dịch vụ mua vào trong kỳ | | | | 1 | Hàng hóa, dịch vụ mua vào chịu thuế giá trị gia tăng | | | | | a | Hàng hóa, dịch vụ mua vào chịu thuế suất 10% | 2.405.743.241 | 245.163.767 | | | b | Hàng hóa, dịch vụ mua vào chịu thuế suất 8% | | | | | c | Hàng hóa, dịch vụ mua vào chịu thuế suất 5% | | | | | d | Hàng hóa, dịch vụ mua vào không chịu thuế | | | | II | Hàng hóa, dịch vụ bán ra trong kỳ | | | | 1 | Hàng hóa, dịch vụ bán ra không chịu th","Thuế giá trị gia tăng phát sinh trong kỳ của công ty Cổ phần DHA Surfaces là 129.511.633 đồng. 

Công thức tính thuế giá trị gia tăng phát sinh trong kỳ là:
\[ [36] = [35] - [25] \]
Trong đó:
- [35] là tổng thuế giá trị gia tăng của hàng hóa, dịch vụ bán ra (345.675.440 đồng).
- [25] là thuế giá trị gia tăng còn được khấu trừ (216.163.807 đồng). 

Do đó, thuế giá trị gia tăng phát sinh trong kỳ được tính như sau:
\[ 345.675.440 - 216.163.807 = 129.511.633 \]"
10,Ai là người đại diện ký tờ khai thuế giá trị gia tăng này và ngày ký là ngày nào?,# BCTC.pdf ## Trang 1,"Người đại diện ký tờ khai thuế giá trị gia tăng là Trịnh Thị Sang, và ngày ký là ngày 24 tháng 01 năm 2025."
